"epoch","biomedpubmed_bs32_augmix_4xgpu_flood_temporal - _step","biomedpubmed_bs32_augmix_4xgpu_flood_temporal - _step__MIN","biomedpubmed_bs32_augmix_4xgpu_flood_temporal - _step__MAX","biomedpubmed_bs32_augmix_4xgpu_flood_temporal - loss_epoch","biomedpubmed_bs32_augmix_4xgpu_flood_temporal - loss_epoch__MIN","biomedpubmed_bs32_augmix_4xgpu_flood_temporal - loss_epoch__MAX"
"1","107","107","107","2.919799327850342","2.919799327850342","2.919799327850342"
"2","215","215","215","2.447986602783203","2.447986602783203","2.447986602783203"
"3","323","323","323","2.2607944011688232","2.2607944011688232","2.2607944011688232"
"4","431","431","431","2.159494400024414","2.159494400024414","2.159494400024414"
"5","539","539","539","2.071206569671631","2.071206569671631","2.071206569671631"
"6","647","647","647","2.0048158168792725","2.0048158168792725","2.0048158168792725"
"7","755","755","755","1.950858473777771","1.950858473777771","1.950858473777771"
"8","864","864","864","1.8963086605072021","1.8963086605072021","1.8963086605072021"
"9","972","972","972","1.8479002714157104","1.8479002714157104","1.8479002714157104"
"10","1080","1080","1080","1.7921346426010132","1.7921346426010132","1.7921346426010132"
"11","1188","1188","1188","1.7479517459869385","1.7479517459869385","1.7479517459869385"
"12","1296","1296","1296","1.7093980312347412","1.7093980312347412","1.7093980312347412"
"13","1404","1404","1404","1.662384271621704","1.662384271621704","1.662384271621704"
"14","1512","1512","1512","1.6200920343399048","1.6200920343399048","1.6200920343399048"
"15","1621","1621","1621","1.5898025035858154","1.5898025035858154","1.5898025035858154"
"16","1729","1729","1729","1.5577425956726074","1.5577425956726074","1.5577425956726074"
"17","1837","1837","1837","1.5134546756744385","1.5134546756744385","1.5134546756744385"
"18","1945","1945","1945","1.4871737957000732","1.4871737957000732","1.4871737957000732"
"19","2053","2053","2053","1.4629253149032593","1.4629253149032593","1.4629253149032593"
"20","2161","2161","2161","1.4452338218688965","1.4452338218688965","1.4452338218688965"
"21","2269","2269","2269","1.4160656929016113","1.4160656929016113","1.4160656929016113"
"22","2378","2378","2378","1.3885860443115234","1.3885860443115234","1.3885860443115234"
"23","2486","2486","2486","1.3807421922683716","1.3807421922683716","1.3807421922683716"
"24","2594","2594","2594","1.3419835567474365","1.3419835567474365","1.3419835567474365"
"25","2702","2702","2702","1.318390965461731","1.318390965461731","1.318390965461731"
"26","2810","2810","2810","1.2998356819152832","1.2998356819152832","1.2998356819152832"
"27","2918","2918","2918","1.2898160219192505","1.2898160219192505","1.2898160219192505"
"28","3026","3026","3026","1.2659372091293335","1.2659372091293335","1.2659372091293335"
"29","3135","3135","3135","1.240443468093872","1.240443468093872","1.240443468093872"
"30","3243","3243","3243","1.2299326658248901","1.2299326658248901","1.2299326658248901"
"31","3351","3351","3351","1.2072129249572754","1.2072129249572754","1.2072129249572754"
"32","3459","3459","3459","1.1798181533813477","1.1798181533813477","1.1798181533813477"
"33","3567","3567","3567","1.1785762310028076","1.1785762310028076","1.1785762310028076"
"34","3675","3675","3675","1.1614041328430176","1.1614041328430176","1.1614041328430176"
"35","3783","3783","3783","1.1433733701705933","1.1433733701705933","1.1433733701705933"
"36","3892","3892","3892","1.1275619268417358","1.1275619268417358","1.1275619268417358"
"37","4000","4000","4000","1.100263237953186","1.100263237953186","1.100263237953186"
"38","4108","4108","4108","1.1006020307540894","1.1006020307540894","1.1006020307540894"
"39","4216","4216","4216","1.0834827423095703","1.0834827423095703","1.0834827423095703"
"40","4324","4324","4324","1.070013165473938","1.070013165473938","1.070013165473938"
"41","4432","4432","4432","1.0472095012664795","1.0472095012664795","1.0472095012664795"
"42","4540","4540","4540","1.0346860885620117","1.0346860885620117","1.0346860885620117"
"43","4649","4649","4649","1.021321415901184","1.021321415901184","1.021321415901184"
"44","4757","4757","4757","1.0123413801193237","1.0123413801193237","1.0123413801193237"
"45","4865","4865","4865","1.0047190189361572","1.0047190189361572","1.0047190189361572"
"46","4973","4973","4973","0.9766520857810974","0.9766520857810974","0.9766520857810974"
"47","5081","5081","5081","0.9843708872795105","0.9843708872795105","0.9843708872795105"
"48","5189","5189","5189","0.963003933429718","0.963003933429718","0.963003933429718"
"49","5297","5297","5297","0.9517573118209839","0.9517573118209839","0.9517573118209839"
"50","5406","5406","5406","0.9442526698112488","0.9442526698112488","0.9442526698112488"
"51","5514","5514","5514","0.9250738024711609","0.9250738024711609","0.9250738024711609"
"52","5622","5622","5622","0.9120854735374451","0.9120854735374451","0.9120854735374451"
"53","5730","5730","5730","0.906991720199585","0.906991720199585","0.906991720199585"
"54","5838","5838","5838","0.8959910869598389","0.8959910869598389","0.8959910869598389"
"55","5946","5946","5946","0.8870124220848083","0.8870124220848083","0.8870124220848083"
"56","6054","6054","6054","0.8851812481880188","0.8851812481880188","0.8851812481880188"
"57","6162","6162","6162","0.8668193817138672","0.8668193817138672","0.8668193817138672"
"58","6271","6271","6271","0.858646035194397","0.858646035194397","0.858646035194397"
"59","6379","6379","6379","0.8499737977981567","0.8499737977981567","0.8499737977981567"
"60","6487","6487","6487","0.8382244110107422","0.8382244110107422","0.8382244110107422"
"61","6595","6595","6595","0.822524905204773","0.822524905204773","0.822524905204773"
"62","6703","6703","6703","0.8264573216438293","0.8264573216438293","0.8264573216438293"
"63","6811","6811","6811","0.811534583568573","0.811534583568573","0.811534583568573"
"64","6919","6919","6919","0.8027908205986023","0.8027908205986023","0.8027908205986023"
"65","7028","7028","7028","0.7881342768669128","0.7881342768669128","0.7881342768669128"
